index,section,trail_mile_from_occoquan,dist_m,stop_name,routes,stop_code,stop_id,lat,lon
1,1,3.29,234.8,SILVERBROOK RD @ POWER HOUSE RD,"305, 371",6568,3238,38.713058,-77.231582
2,1,3.31,195.8,SILVERBROOK RD & POWER HOUSE RD,305,6567,3237,38.713495,-77.231604
3,1,3.32,15.2,SILVERBROOK RD @ WHITE SPRUCE WAY,305,6528,3215,38.715113,-77.233009
4,1,3.32,20.5,SILVERBROOK RD @ WHITE SPRUCE WAY,"305, 371",6529,3216,38.715074,-77.233145
5,1,3.48,167.7,LAUREL CREST@ WESTERN HEMLOCK WAY E,371,2594,977,38.717726,-77.230929
6,1,3.52,130.2,LAUREL CREST DR @ PINION PL,371,1188,68,38.717166,-77.229339
7,1,3.69,129.8,LAUREL CREST DR @ BITTERROOT CT,371,2587,976,38.716398,-77.226846
8,1,3.75,132.5,LAUREL CREST DR @ PAPER BIRCH DR,371,6413,3066,38.713883,-77.226149
9,1,6.12,171.6,POHICK RD @ SOUTHRUN RD,305,3099,1300,38.73617,-77.22594
10,1,6.12,251.9,SOUTHRUN RD @ RUSHING CREEK DR,305,3459,1528,38.73539,-77.22652
11,1,6.12,224.7,SOUTHRUN RD @ POHICK RD,305,4716,2982,38.735397,-77.226163
12,1,6.18,187.1,POHICK RD @ SOUTHRUN RD,305,6430,3012,38.736633,-77.226219
13,1,6.2,237.3,POHICK RD @ CLIFFOREST DR,305,3080,1286,38.736962,-77.227011
14,2,8.11,12.4,FAIRFAX COUNTY PKWY @ WHITLERS CREE,305,1859,481,38.75801,-77.22488
15,2,8.16,2.7,FAIRFAX COUNTY PKWY @ WHITLERS CREE,305,2010,582,38.75851,-77.22469
16,2,10.25,109.5,OLD KEENE MILL RD @ TIVERTON DR,310,2978,1230,38.77456,-77.20626
17,2,10.27,70.4,OLD KEENE MILL RD@HUNTER VILLAGE DR,310,2965,1221,38.77439,-77.20574
18,2,10.52,104.2,OLD KEENE MILL RD @ BYRON AVE,310,2948,1208,38.77593,-77.20219
19,2,10.52,122.9,OLD KEENE MILL RD @ WESTMORE DR W,310,2979,1231,38.77575,-77.20193
20,3,14.78,89.2,BRADDOCK RD @ GLEN PARK RD,"306, 495",1439,225,38.81096,-77.23106
21,3,14.81,87.9,BRADDOCK RD @ GLEN PARK RD,"306, 495",1438,224,38.81131,-77.23106
22,3,14.86,73.3,BRADDOCK RD @ INVERCHAPEL RD,306,1445,230,38.81138,-77.22866
23,3,14.86,150.1,BRADDOCK RD @ INVERCHAPEL RD,"306, 495",1446,231,38.81099,-77.22793
24,3,15.04,290.4,BRADDOCK RD @ QUEENSBERRY AVE,495,3858,1797,38.81142,-77.22505
25,3,16.71,271.4,AMERICANA @ 4267,803,5206,3409,38.8328,-77.21641
26,4,22.34,0.4,BLAKE LA @ OAKTON CREST CT,461,4118,1928,38.87592,-77.28443
27,4,22.5,1.1,BLAKE LA @ EDGELEA RD,461,4117,1927,38.8763,-77.28747
28,4,22.5,25.5,BLAKE LN @ PLATTEN DR,461,4120,1930,38.876078,-77.287442
29,4,22.59,1.5,BLAKE LA @ CYRANDALL VALLEY RD,461,4115,1925,38.8764,-77.28907
30,4,22.63,23.2,BLAKE LA @ CYRANDALL VALLEY RD,461,4116,1926,38.87624,-77.28965
31,4,22.81,291.2,BUSHMAN DR @ EBENSHIRE CT,461,4131,1940,38.87409,-77.29382
32,4,22.85,80.8,BUSHMAN DR @ OAKWOOD CHASE CT,461,4132,1941,38.87601,-77.29408
33,4,22.88,153.9,BUSHMAN DR @ BRADFORD WOOD CT,461,4108,1919,38.87537,-77.29442
34,4,23.22,276.2,BUSHMAN DR @ VALENTINO DR W,461,4135,1943,38.873,-77.29933
35,4,23.23,173.4,BUSHMAN DR @ BORGE ST,461,4129,1938,38.87375,-77.30056
36,4,23.23,194.3,BUSHMAN DR @ BORGE ST,461,4130,1939,38.87357,-77.30041
37,4,23.45,275.1,WHITE GRANITE DR @ CHAIN BRIDGE RD,461,4306,2097,38.874344,-77.305846
38,4,23.48,266,WHITE GRANITE DR @ CHAIN BRIDGE RD,461,4305,2096,38.874657,-77.306283
39,4,23.53,49.6,CHAIN BRIDGE RD @ PRESTON HEIGHTS C,461,4153,1959,38.8776,-77.30522
40,4,23.55,1.9,CHAIN BRIDGE RD @ JERMANTOWN RD,461,4142,1948,38.87735,-77.30573
41,4,23.66,187.3,CHAIN BRIDGE RD @ WHITE GRANITE DR,461,4155,1961,38.87563,-77.30684
42,5,30.57,293.1,GLADE DR @ COMPASS POINT LA,951,2150,700,38.92613,-77.333979
43,5,30.71,127.9,GLADE DR @ TIMBERHEAD LA,951,2176,726,38.927645,-77.329925
44,5,30.71,114.2,GLADE DR @ TIMBERHEAD LA,951,2177,727,38.927395,-77.329994
45,5,30.88,107.5,GLADE DR @ THRUSH RIDGE RD,951,2178,728,38.929241,-77.327897
46,5,30.91,90.4,GLADE DR @ THRUSH RIDGE RD,951,2179,729,38.92926,-77.327638
47,5,31.14,47.9,GLADE DR @ TWIN BRANCHES RD,951,2180,730,38.931282,-77.325314
48,5,31.15,48.7,GLADE DR @ TWIN BRANCHES RD,951,2172,722,38.931371,-77.325382
49,5,31.27,289.6,TWIN BRANCHES RD @ LAKE AUDUBON CT,951,3590,1632,38.935039,-77.326542
50,6,36.38,31.1,LEESBURG PIKE @ CARPERS FARM WAY,574,2659,1009,38.96726,-77.29166
51,6,36.41,7.7,LEESBURG PIKE @ COLVIN RUN RD E,574,2663,1012,38.96741,-77.29121
