ID,Type,ObjectType,Name,Priority,UUID,Trail Mileage,Latitude,Longitude,Trail Offset,Access Type,Capacity,Surface,Restrooms,Water,Hours,Fees,Verified,Source,Notes,PrimaryPhotoId,Narrative,icons,QR Code links,URL,display_type,sort_order,start_mile,end_mile,midpoint_mile
R01,Park,POI,Occoquan Regional Park,1,,0,38.69341538,-77.25533878,,,,,yes,yes,0630-1700 (minimum),,,,,,,"nature, discovery",,https://www.novaparks.com/parks/occoquan-regional-park,point,1,,,
P01,Parking,Parking,Occoquan Regional Park parking,2,,0,38.68052,-77.25228,,At trailhead,50,paved,,,0630-1700 (minimum),None,,,"A word of caution:  Once the park closes, the gates go down, and you might not be able to drive out. Closing times vary by season — check before you go if you plan to park a vehicle there.  ",,,parking,,https://www.novaparks.com/parks/occoquan-regional-park,point,2,,,
F01,"Food, Drink",POI,Brickmakers Cafe,3,,0,38.68117,-77.25306,,,,,,,"1100-1600 weekdays, 1100-1900 weekends",none,,,,PHBM01,NBM01,"food, libations",,https://www.novaparks.com/parks/brickmakers-cafe,point,3,,,
H04,Historic,Area,DC Workhouse and Reformatory Historic District,1,,,,,,,,,,,,,,,,,,"history,guardtower",,https://www.fairfaxcounty.gov/planning-development/laurel-hill/national-register,area,4,0.14,3.32,1.59
H01,Historic,POI,Beehive Brick Kiln,3,,0.13,38.68186043,-77.25327825,0.038,Short detour,,,,,Same as Occoquan Regional Park,none,,,,PHBK01,NBK01,history,,https://www.atlasobscura.com/places/beehive-brick-kiln-occoquan-regional-park,point,5,,,
H02,Historic,POI,Turning Point Suffragist Memorial,3,,0.13,38.68203722,-77.25296088,0.06,Short detour,,,,,Same as Occoquan Regional Park,none,,,,PHTP01,NTP01,history,,https://suffragistmemorial.org/,point,6,,,
V01,Viewpoint,POI,Sheperd Point Overlook,3,,0.42,38.6853324,-77.2570075,0.136,Side Trail,,,,,Same as Occoquan Regional Park,none,,,,,NSP01,viewpoint,,,point,7,,,
H03,Historic,POI,Lorton and Occoquan Railroad Line ,3,,0.42,38.68436006,-77.25564505,,On Trail,,,,,Same as Occoquan Regional Park,none,,,,PHRR01,NOLRR01,history,,https://www.abandonedrails.com/lorton-and-occoquan-railroad,point,8,,,
H04,Historic,POI,Lorton Workhouse Guard Tower,3,,1.16,38.6958873,-77.25369229,0.015,On Trail,,,,,,none,,,,PHLG01, ,history,,,point,9,,,
H05,Historic,POI,Lorton Water Treatment Plant,3,,1.26,38.69675425,-77.25240169,0.019,On Trail,,,,,,none,,,,PHWP01,,history,,,point,10,,,
H06,Historic,POI,Lorton Heating Plant,3,,1.32,38.69788726,-77.25270082,0.019,On Trail,,,,,,none,,,,PHHP01,,history,,,point,11,,,
F02,"Food, Drink",POI,Bunnyman Brewing & Cafe,3,,1.32,38.69844094,-77.25584299,0.25,Short detour,,,,,"Mo-Thu | 0700-2100, Fri 0700-2200, Sa 0900-2200, Su 0900-2000",,,,"The brewery takes its name from local legend: a patient from an insane asylum, being transferred to the Lorton workhouse, is said to have escaped into the nearby woods dressed in a bunny costume — becoming known ever after as “The Bunnyman.”",PHBB01,NBB01,"food, libations",,https://bunnymanbrewing.com/,point,12,,,
H07,Historic,POI,Lucy Burns Museum,3,,1.32,38.69793483,-77.25407084,0.1137,Short detour,,,,,"Sat 1100 - 1800, Sun 1200-1700",none,,,,PHLBM01,NLBM01,history,,https://www.workhousearts.org/lorton-prison-museum,point,13,,,
P02,Parking,Parking,Lorton Workhouse Parking,2,,1.5,38.69917105,-77.25473287,0.038,Along Trail,100,paved,,,,none,,,,,,parking,,,point,14,,,
H08,Historic,POI,Barrel Bridge,3,,2.1,38.70514449,-77.24754819,,On Trail,,,,,,,,,,PHBBT01,NBBT01,history,,https://www.atlasobscura.com/places/barrel-arch-bridge,point,15,,,
H09,Historic,POI,Nike w64 Site,3,,2.13,38.70923306,-77.25342826,0.52,Detour,,,,,,,,,,PNW64,NNW64,history,,https://www.atlasobscura.com/places/nike-missile-site-w-64,point,16,,,
H10,Historic,POI,Barrett House,3,,2.13,38.70627325,-77.24817866,0.09,Short detour,,,,,,,,,,PHBH01,NBH01,history,,https://www.atlasobscura.com/places/barrett-house,point,17,,,
R02,Park,POI,Laurel Hill Park Central Green,3,,2.03,38.70416443,-77.24465185,0.114,Short detour,,,yes,yes,Closes at dark,None,,,,,,park ,,https://www.fairfaxcounty.gov/parks/picnics/laurel-hill-central-green,point,18,,,
P03,Parking,Parking,Laurel Hill Park Central Green Parking,2,,2.03,38.70416443,-77.24465185,0.114,Short detour,75,paved,,,Closes at dark,None,,,,,,parking,,https://www.fairfaxcounty.gov/parks/picnics/laurel-hill-central-green,point,19,,,
H11,Historic,POI,Hidden Box Car History ,3,,2.3,38.7076005,-77.2450289,,On Trail,,,,,,,,,,PHLBC01,NLBC01,history,,,point,20,,,
H12,Historic,POI,Giles Run Trestle Bridge Site,3,,2.49,38.70930809,-77.24295046,,On Trail,,,,,,,,,,PHGRTB01,NGRTB01,history,,,point,21,,,
H13,Historic,POI,Industrial Site Mystery,3,,2.49,38.70942734,-77.24280861,,Along Trail,,,,,,,,,,PHGRI01,NGRI01,discovery,,,point,22,,,
P04,Parking,Parking,Giles Run Parking,2,,2.65,38.71040448,-77.24032381,,Along Trail,18,paved,,,,,,,,,,parking,,,point,23,,,
R03,Park,Area,Laurel Hill Park ,1,,,,,,,,,,,,,,,,,,park ,,,area,24,2.65,5,3.8
H14,Historic,POI,Laurel Hill House,3,,3,38.70925594,-77.23383972,0.26,Short Detour,,,,,,,,,,PHLHH01,NLHH01,history,,https://www.atlasobscura.com/places/laurel-hill-house,point,25,,,
H15,Historic,POI,Laurel Hill Terraced Garden,3,,3,38.70930365,-77.23377794,0.26,Short Detour,,,,,,,,,,PHLHTG01,NLHTG01,history,,,point,26,,,
H16,Historic,POI,Reformatory Power Plant,3,,3,38.71074336,-77.23538177,0.06,Short Detour,,,,,,,,,,PHREFPP01,NREFPP01,history,,https://libertycrestapartments.com/power-plant/,point,27,,,
F03,"Food, Drink",POI,Liberty Market,3,,,38.71377248,-77.23367936,0.038,Short Detour,,,,,,,,,,PHLMKT01,NLMKT01,"food, libations",,https://nvretail.com/liberty/sitemap,point,28,,,
P05,Parking,Parking,Liberty Market Parking,2,,3.13,38.71377248,-77.23367936,0.038,Short Detour,289,paved,,,,,,,,,,parking,,,point,29,,,
W01,Waterway,Area,Pohick Stream,4,,,,,,,,,,,,,,,,,NPOHS01,,,,area,30,3.13,8.04,5.5
F04,"Food, Drink",POI,Pack a Picnic (Sunoco Station),3,,8.04,38.75647741,-77.2335702,0.43,Detour,,,yes,yes,,,,,,"PHGNG01, PHGNG02, PHGNG03",,"food, libations",,,point,31,,,
W01,Waterway,Area,Accotink Stream Valley,4,,,,,,,,,,,,,,,,,,,,,area,32,8.04,10.82,9
P06,Parking,Parking,Hooes Road Trail Parking,2,,8.04,38.75742841,-77.2259582,,Along Trail,6,gravel,,,,,,,Note this has very limited parking.  See Gambrill Road Commuter Lot for an alternative,,,parking,,,point,33,,,
P07,Parking,Parking,Gambrill Road Commuter Lot,2,,8.04,38.75531056,", -77.23251358072011",0.47,Detour,223,paved,,,,,,,,,NGRCP01,parking,,https://www.fairfaxcounty.gov/connector/riders/gambrill,point,34,,,
R04,Park,POI,Yankee Field,3,,10.82,38.7791153,-77.20262525,0.03,Short Detour,,,seasonal,seasonal,,,,,,PHYANKFLD,NYANKFLD,discovery,,https://www.wsllbaseball.net/,point,35,,,
P08,Parking,Parking,Yankee Field Parking,2,,10.82,38.7791153,-77.20262525,0.03,Short Detour,50,dirt,,,,,,,,,,parking,,,point,36,,,
H17,Historic,POI,Civil War Era Tunnel,3,,11.99,38.79005862,-77.21174579,0.01,Short Detour,,,,,,,,,,PHCIVTUN,NCIVTUN,history,,https://www.atlasobscura.com/places/orange-and-alexandria-railroad-culvert,point,37,,,
H18,Historic,POI,The Orange and Alexandria Railroad,3,,12.49,38.79303563,-77.21875172,,Along Trail,,,,,,,,,,PHORGRR,NORGRR,history,,https://civilwarintheeast.com/things/railroads/orange-alexandria-railroad/,point,38,,,
W02,Waterway,POI,Lake Accotink,3,,12.69,38.79386602,-77.21547104,,Along Trail,,,yes,yes,,,,,,"PHLAKEAC01, PHLAKEAC02",NLAKEAC,park,,https://www.fairfaxcounty.gov/parks/lake-accotink,point,39,,,
P09,Parking,Parking,Lake Accotink Parking,2,,12.44,38.79410326,-77.2145883,,Along Trail,200,gravel,,,Closes at dark,,,,,,,parking,,,point,40,,,
H19,Historic,POI,Ravensworth Historical Marker,3,,14.79,38.80965038,-77.22098013,0.54,Detour,,,,,,,,,,PHRAVHM,NRAVHM,history,,https://ravensworthstory.org/,point,41,,,
F05,"Food, Drink",POI,Ravensworth Shopping Plaza,3,,14.79,38.80989296,-77.22183815,0.47,Detour,,,,,,,,,,"PHRAVENS01, PHRAVENS02, PHRAVENS03",NRAVENS01,parking,,,point,42,,,
R05,Park,POI,Wakefield Park Rec Center,3,,15.3,38.81773046,-77.22391699,0.17,Short Detour,,,yes,yes,,,,,,"PHWKFLD01, PHWKFLD02, PHWKFLD03",NWKFLD01,park,,https://dwr.virginia.gov/vbwt/sites/wakefield-park/,point,43,,,
P10,Parking,Parking,Wakefield Park Parking,2,,15.3,38.8178805,-77.2233542,0.21,Short Detour,200,paved,,,,,,,,,,parking,,,point,44,,,
