osm_id,amenity,name,trail_mile,dist_m,lat,lon,access,fee,opening_hours,operator,note
3588113925,toilets,,10.6,31.8,38.7768837,-77.2034888,,,,,
5122023930,drinking_water,,10.72,85.1,38.7783681,-77.2028555,,,,,
5122023931,toilets,,10.72,80.2,38.778375,-77.2029117,,,,,
1497746765,toilets,,12.67,53.4,38.7933889,-77.2150903,,,,,
5122023898,drinking_water,,12.68,8,38.7938394,-77.2154103,,,,,
5122023899,toilets,,12.69,25.6,38.7941878,-77.2150683,,,,,
5583390069,drinking_water,,32.29,32.6,38.9360297,-77.3118746,,no,,,
5583386048,toilets,,32.76,3.7,38.9325803,-77.3043261,,no,,,
,drinking_water,,36.44,,38.96951892,-77.29358778,,no,,Fairfax Parks,seasonal
,toilets,,36.44,,38.96951892,-77.29358778,,no,1100-1600,,seasonal
