ID,Type,Name,Priority,UUID,Trail Mileage,Latitude,Longitude,Trail Offset,Access Type,Capacity,Surface,Restrooms,Water,Hours,Fees,Verified,Source,Notes,Photos,Narrative,icons,QR Code links,URL
R01,Park,Ocouquan Regional Park,1,,0,,,,,,,,,,,,,,,,"nature, discovery",,
P01,Parking,Ocouquan Regional Park parking,1,,0,38.68052,-77.25228,,,50,paved,,,0630-1700 (minimum),None,,,"A word of caution:  Once the park closes, the gates go down, and you might not be able to drive out. Closing times vary by season — check before you go if you plan to park a vehicle there.  ",,,parking,,https://www.novaparks.com/parks/occoquan-regional-park
F01,"Food, Drink",Brickmakers Café,2,,0,38.68117,-77.25306,,,,,yes,yes,"1100-1600 weekdays, 1100-1900 weekends",none,,,,photos/brickmakers.jpg,text/brickmakers-café.md,"food, libations",,https://www.novaparks.com/parks/brickmakers-cafe
H01,Historic,Beehive Brick Kiln,4,,0.13,38.681471,-77.2533693,0.038,Short detour,,,no,no,Same as Occoquan Regional Park,none,,,,photos/beehive_kiln.jpg,text/beehive-brick-kiln.md,history,,https://www.atlasobscura.com/places/beehive-brick-kiln-occoquan-regional-park
H02,Historic,Turning Point Suffragist Memorial,4,,0.13,38.6816723,-77.2532934,0.06,Short detour,,,no,no,Same as Occoquan Regional Park,none,,,,photos/turning-point-small.png,text/turning-point-memorial.md,history,,https://suffragistmemorial.org/
V01,Viewpoint,Sheperd Point Overlook,4,,0.42,38.6853324, -77.2570075,0.136,Side Trail,,,no,no,Same as Occoquan Regional Park,none,,,,,text/sheperds-point.md,viewpoint,,
H03,Historic,Lorton and Occoquan Railroad Line ,5,,0.42,38.68436006,-77.25564505,,Along Trail,,,no,no,Same as Occoquan Regional Park,none,,,,photos/rr-ghost-tracks.jpg,text/occoquan-lorton-rr.md,history,,
H04,Historic,Lorton Workhouse Guard Tower,4,,1.16,38.6958873,-77.25369229,0.015,Along Trail,,,no,no,,none,,,,photos/lorton-guardtower-bw.jpg, ,,,
H05,Historic,Lorton Water Treatment Plant,4,,1.26,38.69675425,-77.25240169,0.019,Along Trail,,,no,no,,none,,,,photos/water-plant.jpg,,,,
H06,Historic,Lorton Heating Plant,4,,1.32,38.69788726,-77.25270082,0.019,Along Trail,,,no,no,,none,,,,photos/lorton-heating-plant-bw.jpg,,,,
H07,Historic,Lucy Burns Museum,4,,1.32,38.69793483,-77.25407084,0.1137,Short detour,,,yes,yes,"Sat 1100 - 1800, Sun 1200-1700",none,,,,,,,,https://www.workhousearts.org/lorton-prison-museum
F02,"Food, Drink",Bunnyman Brewing & Café,2,,1.32,38.69844094,-77.25584299,0.25,Detour,,,yes,yes,"Mo-Thu | 0700-2100, Fri 0700-2200, Sa 0900-2200, Su 0900-2000",,,,"The brewery takes its name from local legend: a patient from an insane asylum, being transferred to the Lorton workhouse, is said to have escaped into the nearby woods dressed in a bunny costume — becoming known ever after as “The Bunnyman.”",photos/bunnyman.jpg,text/bunnyman.md,,,https://bunnymanbrewing.com/
