TransitID,Agency,stop_id,stop_code,stop_name,Latitude,Longitude,TrailMileage,TrailOffsetMiles,Routes,Shelter,Bench,Accessible,Verified,Source,Notes,Live_link,,,
bus,Fairfax Connector,3238,6568,SILVERBROOK RD @ POWER HOUSE RD,38.713058,-77.231582,3.29,,"305, 371",,,,,https://www.fairfaxcounty.gov/connector/sites/connector/files/assets/connector_gtfs.zip,,https://www.fairfaxcounty.gov/bustime/wireless/html/eta.jsp?route=---&direction=---&displaydirection=---&stop=---&findstop=on&selectedRtpiFeeds=&id=6568,,, 
bus,Fairfax Connector,3066,6413,LAUREL CREST DR @ PAPER BIRCH DR,38.713883,-77.226149,3.75,,371,,,,,https://www.fairfaxcounty.gov/connector/sites/connector/files/assets/connector_gtfs.zip,,https://www.fairfaxcounty.gov/bustime/wireless/html/eta.jsp?route=---&direction=---&displaydirection=---&stop=---&findstop=on&selectedRtpiFeeds=&id=6413,,,
bus,Fairfax Connector,1300,3099,POHICK RD @ SOUTHRUN RD,38.73617,-77.22594,6.12,,305,,,,,https://www.fairfaxcounty.gov/connector/sites/connector/files/assets/connector_gtfs.zip,,https://www.fairfaxcounty.gov/bustime/wireless/html/eta.jsp?route=---&direction=---&displaydirection=---&stop=---&findstop=on&selectedRtpiFeeds=&id=3099,,,
bus,Fairfax Connector,1872,4025,GAMBRILL RD PARK AND RIDE,38.755234,-77.232724,8.04,,"305,395",,,,,https://www.fairfaxcounty.gov/connector/sites/connector/files/assets/connector_gtfs.zip,,https://www.fairfaxcounty.gov/bustime/wireless/html/eta.jsp?route=---&direction=---&displaydirection=---&stop=---&findstop=on&selectedRtpiFeeds=&id=4025,,,
bus,Fairfax Connector,582,2010,FAIRFAX COUNTY PKWY @ WHITLERS CREE,38.75851,-77.22469,8.16,,305,,,,,https://www.fairfaxcounty.gov/connector/sites/connector/files/assets/connector_gtfs.zip,,https://www.fairfaxcounty.gov/bustime/wireless/html/eta.jsp?route=---&direction=---&displaydirection=---&stop=---&findstop=on&selectedRtpiFeeds=&id=2010,,,
bus,Fairfax Connector,1221,2965,OLD KEENE MILL RD@HUNTER VILLAGE DR,38.77439,-77.20574,10.27,,310,,,,,https://www.fairfaxcounty.gov/connector/sites/connector/files/assets/connector_gtfs.zip,,https://www.fairfaxcounty.gov/bustime/wireless/html/eta.jsp?route=---&direction=---&displaydirection=---&stop=---&findstop=on&selectedRtpiFeeds=&id=2965,,,
bus,Fairfax Connector,1208,2948,OLD KEENE MILL RD @ BYRON AVE,38.77593,-77.20219,10.52,,310,,,,,https://www.fairfaxcounty.gov/connector/sites/connector/files/assets/connector_gtfs.zip,,https://www.fairfaxcounty.gov/bustime/wireless/html/eta.jsp?route=---&direction=---&displaydirection=---&stop=---&findstop=on&selectedRtpiFeeds=&id=2948,,,
bus,Fairfax Connector,224,1438,BRADDOCK RD @ GLEN PARK RD,38.81131,-77.23106,14.81,,"306, 495",,,,,https://www.fairfaxcounty.gov/connector/sites/connector/files/assets/connector_gtfs.zip,,https://www.fairfaxcounty.gov/bustime/wireless/html/eta.jsp?route=---&direction=---&displaydirection=---&stop=---&findstop=on&selectedRtpiFeeds=&id=1438,,,
bus,Fairfax Connector,1797,3858,BRADDOCK RD @ QUEENSBERRY AVE,38.81142,-77.22505,15.04,,495,,,,,https://www.fairfaxcounty.gov/connector/sites/connector/files/assets/connector_gtfs.zip,,https://www.fairfaxcounty.gov/bustime/wireless/html/eta.jsp?route=---&direction=---&displaydirection=---&stop=---&findstop=on&selectedRtpiFeeds=&id=3858,,,
bus,Fairfax Connector,3409,5206,AMERICANA @ 4267,38.8328,-77.21641,16.71,,803,,,,,https://www.fairfaxcounty.gov/connector/sites/connector/files/assets/connector_gtfs.zip,,https://www.fairfaxcounty.gov/bustime/wireless/html/eta.jsp?route=---&direction=---&displaydirection=---&stop=---&findstop=on&selectedRtpiFeeds=&id=5206,,,
